#separator:tab
#html:true
"<img alt=""Barevná studie. Čtverce se soustřednými kruhy, 1913."" src=""Wassily_Kandinsky_-_Color_Study_Squares_with_Concentric_Circles_1913_-_(MeisterDrucke-1185849).jpg"">"	Soustředné Kruhy
"<img alt=""Hera - Francis Picabia - WikiArt.org"" src=""hera.jpg!Large.jpg"">"	Francis Picabia - Hera
"<img alt=""File:Francis Picabia, 1913, Udnie (Young American Girl, The Dance), oil on  canvas, 290 x 300 cm, Musée National d'Art Moderne, Centre Georges  Pompidou, Paris..jpg - Wikimedia Commons"" src=""1023px-Francis_Picabia,_1913,_Udnie_(Young_American_Girl,_The_Dance),_oil_on_canvas,_290_x_300_cm,_Musée_National_.jpg"">"	Francis Picabia -&nbsp; Mladá americká dívka
"<img alt=""MIKALOJUS KONSTANTINAS CIURLIONIS. Sonata VI. Andante. (Sonata of the  Stars). - Album alb3342850"" src=""album_alb3342850.jpg"">"	Mikolojus konstinas čiulionis - Sonáta č.6
"<img alt=""P] Sparks III (1906)"" src=""products-Ciurlionis-Kibirkstys-3.jpg"">"	Kibirkštys
"<img alt=""Champs de Mars: The Red Tower - Wikipedia"" src=""Delaunay_ChampDeMars.jpg"">"	Robert Delauney - Champ de mars
"<img alt=""Simultánní okna na město"" src=""Robert_Delaunay_-_Simultaneous_Windows_on_the_City_-_(MeisterDrucke-1416483).jpg"">"	Robert Delauney - Simultánní okna na město
"<img alt=""Endless Rhythm', Robert Delaunay, 1934 | Tate"" src=""T01233_10.jpg"">"	Robert Delauney - Endless rythm
"<img alt=""Černý čtverec – Wikipedie"" src=""800px-Чёрный_супрематический_квадрат._1915._ГТГ.png"">"	Kazimir Malevič - Černý čtverec
"<img alt=""Mystic Suprematism černý kříž na červeném oválu"" src=""Kazimir Malevich -  Mystic Suprematism black cross on red ovaln - (MeisterDrucke-349401).jpg"">"	Kazimir Malevič - Černý kříž
"<img alt=""Suprematistická kompozice: Bílá na bílém, 1918"" src=""Kazimir_Severinovich_Malevich_-_Suprematist_Composition_White_on_White_1918_-_(MeisterDrucke-635264).jpg"">"	Kazimir Malevič - Bílí čtverec na bílém pozadí
